dist,episode_num,reward
152,358,9.3292
56,359,12.7663
45,360,2.7619
274,365,59.1054
279,370,43.8841
218,375,48.8555
294,380,41.8586
140,385,43.1476
537,390,63.7086
559,395,78.7458
30,397,1.8413
49,402,42.4724
97,407,29.6447
